Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -21316.268mil -15734.508mil       6845mil       4890mil -21316.268mil -15734.508mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5 -21316.268mil -15734.508mil       -270mil       5065mil -21316.268mil -15734.508mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5 -21316.268mil -15734.508mil       -205mil      -1895mil -21316.268mil -15734.508mil  T        360.00 Comment        
R12F       SMD_0805          4246.142mil   3730.315mil   4246.143mil   3730.315mil   4246.142mil   3775.315mil  T        270.00 Res SMD        
R12E       SMD_0805          3458.741mil   3730.315mil   3458.741mil   3730.315mil   3458.741mil   3775.315mil  T        270.00 Res SMD        
R12D       SMD_0805          2671.339mil   3730.315mil    2671.34mil   3730.316mil   2671.339mil   3775.315mil  T        270.00 Res SMD        
R12C       SMD_0805          1883.938mil   3730.315mil   1883.937mil   3730.315mil   1883.938mil   3775.315mil  T        270.00 Res SMD        
R12B       SMD_0805          1096.536mil   3730.315mil   1096.535mil   3730.315mil   1096.536mil   3775.315mil  T        270.00 Res SMD        
R12A       SMD_0805           309.135mil   3730.315mil    309.134mil   3730.315mil    309.135mil   3775.315mil  T        270.00 Res SMD        
R11        SMD_0805          4440.001mil     39.999mil       4440mil         40mil   4440.001mil     84.999mil  T        270.00 Res SMD        
R10F       SMD_0805          4600.472mil   3385.827mil   4600.471mil   3385.827mil   4600.472mil   3340.827mil  T         90.00 Res SMD        
R10E       SMD_0805          3813.071mil   3385.827mil    3813.07mil   3385.828mil   3813.071mil   3340.827mil  T         90.00 Res SMD        
R10D       SMD_0805          3025.669mil   3385.827mil   3025.668mil   3385.828mil   3025.669mil   3340.827mil  T         90.00 Res SMD        
R10C       SMD_0805          2238.268mil   3385.827mil   2238.267mil   3385.827mil   2238.268mil   3340.827mil  T         90.00 Res SMD        
R10B       SMD_0805          1450.866mil   3385.827mil   1450.866mil   3385.828mil   1450.866mil   3340.827mil  T         90.00 Res SMD        
R10A       SMD_0805           663.465mil   3385.827mil    663.465mil   3385.827mil    663.465mil   3340.827mil  T         90.00 Res SMD        
R8F        SMD_0805          4236.298mil   3474.409mil   4236.298mil    3474.41mil   4236.298mil   3429.409mil  T         90.00 Res SMD        
R8E        SMD_0805          3448.897mil   3474.409mil   3448.897mil   3474.409mil   3448.897mil   3429.409mil  T         90.00 Res SMD        
R8D        SMD_0805          2661.495mil   3474.409mil   2661.495mil   3474.409mil   2661.495mil   3429.409mil  T         90.00 Res SMD        
R8C        SMD_0805          1874.094mil   3474.409mil   1874.094mil    3474.41mil   1874.094mil   3429.409mil  T         90.00 Res SMD        
R8B        SMD_0805          1086.692mil   3474.409mil   1086.693mil   3474.409mil   1086.692mil   3429.409mil  T         90.00 Res SMD        
R8A        SMD_0805           299.291mil   3474.409mil     299.29mil    3474.41mil    299.291mil   3429.409mil  T         90.00 Res SMD        
R6D        SMD_0805          4275.905mil   2693.307mil   4275.905mil   2693.306mil   4320.905mil   2693.307mil  T        180.00 Res SMD        
R6C        SMD_0805          3203.071mil   2693.307mil   3203.071mil   2693.307mil   3248.071mil   2693.307mil  T        180.00 Res SMD        
R6B        SMD_0805          2130.236mil   2693.307mil   2130.236mil   2693.307mil   2175.236mil   2693.307mil  T        180.00 Res SMD        
R6A        SMD_0805          1057.402mil   2693.307mil   1057.401mil   2693.307mil   1102.402mil   2693.307mil  T        180.00 Res SMD        
R5D        SMD_0805          3575.905mil   2553.307mil   3575.906mil   2553.308mil   3530.905mil   2553.307mil  T        360.00 Res SMD        
R5C        SMD_0805          2503.071mil   2553.307mil   2503.071mil   2553.307mil   2458.071mil   2553.307mil  T        360.00 Res SMD        
R5B        SMD_0805          1430.236mil   2553.307mil   1430.236mil   2553.307mil   1385.236mil   2553.307mil  T        360.00 Res SMD        
R5A        SMD_0805           357.402mil   2553.307mil    357.402mil   2553.307mil    312.402mil   2553.307mil  T        360.00 Res SMD        
R4D        SMD_0805          3575.905mil   2483.307mil   3575.905mil   2483.307mil   3620.905mil   2483.307mil  T        180.00 Res SMD        
R4C        SMD_0805          2503.071mil   2483.307mil   2503.071mil   2483.308mil   2548.071mil   2483.307mil  T        180.00 Res SMD        
R4B        SMD_0805          1430.236mil   2483.307mil   1430.236mil   2483.307mil   1475.236mil   2483.307mil  T        180.00 Res SMD        
R4A        SMD_0805           357.402mil   2483.307mil    357.401mil   2483.308mil    402.402mil   2483.307mil  T        180.00 Res SMD        
R3D        SMD_0805          4275.905mil   2773.307mil   4275.906mil   2773.307mil   4230.905mil   2773.307mil  T        360.00 Res SMD        
R3C        SMD_0805          3203.071mil   2773.307mil   3203.071mil   2773.307mil   3158.071mil   2773.307mil  T        360.00 Res SMD        
R3B        SMD_0805          2130.236mil   2773.307mil   2130.236mil   2773.307mil   2085.236mil   2773.307mil  T        360.00 Res SMD        
R3A        SMD_0805          1057.402mil   2773.307mil   1057.402mil   2773.307mil   1012.402mil   2773.307mil  T        360.00 Res SMD        
Q5         SOT223_w/PowerPAD   5704.332mil   1082.836mil   5696.457mil   1082.836mil   5574.409mil   1173.388mil  T        270.00 NJT4031N       
Q4         SOT223_w/PowerPAD   5715.089mil     649.92mil   5707.214mil    649.921mil   5585.167mil    740.472mil  T        270.00 NJT4031N       
Q3         SOT223_w/PowerPAD    5194.34mil    649.921mil   5202.214mil    649.921mil   5324.261mil    559.369mil  T         90.00 NJT4031N       
Q2F        SOT223_w/PowerPAD   4423.305mil   3220.472mil   4423.306mil   3228.347mil   4513.856mil   3350.393mil  T        180.00 NJT4030P       
Q2E        SOT223_w/PowerPAD   3635.905mil   3220.473mil   3635.905mil   3228.348mil   3726.457mil   3350.395mil  T        180.00 NJT4030P       
Q2D        SOT223_w/PowerPAD   2848.503mil   3220.473mil   2848.503mil   3228.348mil   2939.055mil   3350.395mil  T        180.00 NJT4030P       
Q2C        SOT223_w/PowerPAD   2061.102mil   3220.473mil   2061.102mil   3228.347mil   2151.654mil   3350.395mil  T        180.00 NJT4030P       
Q2B        SOT223_w/PowerPAD     1273.7mil   3220.473mil   1273.701mil   3228.348mil   1364.252mil   3350.395mil  T        180.00 NJT4030P       
Q2A        SOT223_w/PowerPAD    486.298mil   3220.473mil    486.298mil   3228.347mil    576.851mil   3350.395mil  T        180.00 NJT4030P       
Q1F        SOT223_w/PowerPAD   4423.305mil   3649.606mil   4423.306mil   3641.732mil   4332.754mil   3519.685mil  T        360.00 NJT4031N       
Q1E        SOT223_w/PowerPAD   3635.905mil   3649.606mil   3635.905mil   3641.732mil   3545.353mil   3519.684mil  T        360.00 NJT4031N       
Q1D        SOT223_w/PowerPAD   2848.503mil   3649.606mil   2848.503mil   3641.732mil   2757.951mil   3519.684mil  T        360.00 NJT4031N       
Q1C        SOT223_w/PowerPAD   2061.102mil   3649.606mil   2061.102mil   3641.732mil    1970.55mil   3519.684mil  T        360.00 NJT4031N       
Q1B        SOT223_w/PowerPAD     1273.7mil   3649.606mil   1273.701mil   3641.732mil   1183.148mil   3519.684mil  T        360.00 NJT4031N       
Q1A        SOT223_w/PowerPAD    486.298mil   3649.605mil    486.298mil   3641.732mil    395.747mil   3519.683mil  T        360.00 NJT4031N       
P1         HDR2X5            5717.717mil   2247.244mil   5767.716mil   2047.244mil   5767.717mil   2047.244mil  T         90.00 Header 5X2     
L4D        SMD_1210_INDUCT   3575.905mil   2653.307mil   3575.905mil   2653.307mil   3510.905mil   2653.307mil  T          0.00 Inductor       
L4C        SMD_1210_INDUCT   2503.071mil   2653.307mil   2503.071mil   2653.307mil   2438.071mil   2653.307mil  T          0.00 Inductor       
L4B        SMD_1210_INDUCT   1430.236mil   2653.307mil   1430.236mil   2653.307mil   1365.236mil   2653.307mil  T          0.00 Inductor       
L4A        SMD_1210_INDUCT    357.402mil   2653.307mil    357.401mil   2653.307mil    292.402mil   2653.307mil  T          0.00 Inductor       
L3D        SMD_1210_INDUCT   4085.905mil   2753.307mil   4085.905mil   2753.307mil   4020.905mil   2753.307mil  T          0.00 Inductor       
L3C        SMD_1210_INDUCT   3013.071mil   2753.307mil   3013.071mil   2753.307mil   2948.071mil   2753.307mil  T          0.00 Inductor       
L3B        SMD_1210_INDUCT   1940.236mil   2753.307mil   1940.236mil   2753.307mil   1875.236mil   2753.307mil  T          0.00 Inductor       
L3A        SMD_1210_INDUCT    867.402mil   2753.307mil    867.401mil   2753.307mil    802.402mil   2753.307mil  T          0.00 Inductor       
L2D        SMD_1210_INDUCT   3468.818mil   2055.394mil   3468.818mil   2055.393mil   3533.818mil   2055.394mil  T        180.00 Inductor       
L2C        SMD_1210_INDUCT   2582.991mil   2055.394mil   2582.991mil   2055.393mil   2647.991mil   2055.394mil  T        180.00 Inductor       
L2A        SMD_1210_INDUCT    811.338mil   2055.394mil    811.338mil   2055.393mil    876.338mil   2055.394mil  T        180.00 Inductor       
L1D        SMD_1210_INDUCT   2957.008mil   2055.394mil   2957.008mil   2055.393mil   2892.008mil   2055.394mil  T          0.00 Inductor       
L1C        SMD_1210_INDUCT   2071.181mil   2055.394mil   2071.182mil   2055.393mil   2006.181mil   2055.394mil  T          0.00 Inductor       
L1A        SMD_1210_INDUCT    299.528mil   2055.394mil    299.529mil   2055.393mil    234.528mil   2055.394mil  T        360.00 Inductor       
J1         QMS_EDGE_PWR_PINS   2559.054mil     55.118mil   2559.055mil          0mil   3711.504mil     69.148mil  T         90.00 QMSS-EM-PC4    
D2D        SOT-23            3915.905mil   2533.307mil   3915.905mil   2533.307mil   3878.503mil   2484.095mil  T          0.00 Diode BAS16    
D2C        SOT-23             2843.07mil   2533.307mil   2843.071mil   2533.307mil   2805.668mil   2484.095mil  T          0.00 Diode BAS16    
D2B        SOT-23            1770.236mil   2533.307mil   1770.236mil   2533.307mil   1732.834mil   2484.095mil  T          0.00 Diode BAS16    
D2A        SOT-23             697.401mil   2533.307mil    697.401mil   2533.307mil    659.999mil   2484.095mil  T          0.00 Diode BAS16    
D1D        SOT-23            3765.906mil   2533.307mil   3765.905mil   2533.307mil   3728.504mil   2484.095mil  T          0.00 Diode BAS16    
D1C        SOT-23            2693.071mil   2533.307mil   2693.071mil   2533.307mil   2655.669mil   2484.095mil  T          0.00 Diode BAS16    
D1B        SOT-23            1620.236mil   2533.307mil   1620.236mil   2533.307mil   1582.834mil   2484.095mil  T          0.00 Diode BAS16    
D1A        SOT-23             547.401mil   2533.307mil    547.401mil   2533.307mil    509.999mil   2484.095mil  T          0.00 Diode BAS16    
C59        SMD_CAP_6032      1204.999mil    486.368mil       1205mil     486.37mil   1204.999mil    601.369mil  T        270.00 35V            
C58        SMD_CAP_3216          3893mil    409.368mil       3893mil     409.37mil       3893mil    354.368mil  T        270.00 15V            
C57        SMD_CAP_3216      4020.999mil    409.368mil       4021mil     409.37mil   4020.999mil    354.368mil  T        270.00 15V            
C56        SMD_0805          4810.999mil   1522.002mil       4811mil       1522mil   4810.999mil   1477.002mil  T         90.00 Cap SMD        
C42        SMD_0805            98.465mil    175.508mil     98.464mil    175.508mil     98.465mil    220.508mil  T        270.00 Cap SMD        
C37D       SMD_0805          3945.905mil   2753.307mil   3945.905mil   2753.307mil   3945.905mil   2708.307mil  T         90.00 Cap SMD        
C37C       SMD_0805          2873.071mil   2753.307mil    2873.07mil   2753.307mil   2873.071mil   2708.307mil  T         90.00 Cap SMD        
C37B       SMD_0805          1800.236mil   2753.307mil   1800.236mil   2753.307mil   1800.236mil   2708.307mil  T         90.00 Cap SMD        
C37A       SMD_0805           727.402mil   2753.307mil    727.401mil   2753.307mil    727.402mil   2708.307mil  T         90.00 Cap SMD        
C30        SMD_0805              5674mil       1490mil       5674mil   1489.999mil       5629mil       1490mil  T        360.00 Cap SMD        
C17        SMD_0805          5709.001mil   1722.709mil       5709mil   1722.709mil   5664.001mil   1722.709mil  T        360.00 Cap SMD        
C7         SMD_CAP_3216      4649.999mil    130.002mil       4650mil        130mil   4649.999mil    185.002mil  T         90.00 15V            
C6D        SMD_0805          3715.905mil   2753.307mil   3715.905mil   2753.307mil   3715.905mil   2708.307mil  T         90.00 Cap SMD        
C6C        SMD_0805          2643.071mil   2753.307mil    2643.07mil   2753.307mil   2643.071mil   2708.307mil  T         90.00 Cap SMD        
C6B        SMD_0805          1570.236mil   2753.307mil   1570.236mil   2753.307mil   1570.236mil   2708.307mil  T         90.00 Cap SMD        
C6A        SMD_0805           497.402mil   2753.307mil    497.401mil   2753.307mil    497.402mil   2708.307mil  T         90.00 Cap SMD        
C4D        SMD_0805          3094.802mil   2153.818mil   3094.802mil   2153.818mil   3094.802mil   2108.818mil  T         90.00 Cap SMD        
C4C        SMD_0805          2208.975mil   2153.818mil   2208.975mil   2153.818mil   2208.975mil   2108.818mil  T         90.00 Cap SMD        
C4A        SMD_0805           437.322mil   2153.818mil    437.322mil   2153.818mil    437.322mil   2108.818mil  T         90.00 Cap SMD        
C2D        SMD_0805          3173.542mil   2153.818mil   3173.542mil   2153.818mil   3173.542mil   2108.818mil  T         90.00 Cap SMD        
C2C        SMD_0805          2287.715mil   2153.818mil   2287.715mil   2153.818mil   2287.715mil   2108.818mil  T         90.00 Cap SMD        
C2A        SMD_0805           516.062mil   2153.818mil    516.062mil   2153.818mil    516.062mil   2108.818mil  T         90.00 Cap SMD        
U12        S8_N              5494.001mil       1455mil       5494mil   1454.999mil   5419.001mil   1360.512mil  T         90.00 LT1124CS8      
U14        S8_N               323.465mil    220.508mil    323.464mil    220.508mil    248.465mil     126.02mil  T         90.00 LT1124CS8      
U18        S8_N              5396.457mil   1077.835mil   5396.457mil   1077.836mil   5321.457mil    983.347mil  T         90.00 LT1124CS8      
TP1A       SMD_TEST_POINT     673.307mil   3730.315mil    673.306mil   3730.315mil    673.307mil   3730.315mil  T         90.00 Test Point SMD 
TP1B       SMD_TEST_POINT    1460.708mil   3730.315mil   1460.708mil   3730.315mil   1460.708mil   3730.315mil  T         90.00 Test Point SMD 
TP1C       SMD_TEST_POINT     2248.11mil   3730.315mil    2248.11mil   3730.315mil    2248.11mil   3730.315mil  T         90.00 Test Point SMD 
TP1D       SMD_TEST_POINT    3035.511mil   3730.315mil   3035.511mil   3730.316mil   3035.511mil   3730.315mil  T         90.00 Test Point SMD 
TP1E       SMD_TEST_POINT    3822.913mil   3730.315mil   3822.912mil   3730.315mil   3822.913mil   3730.315mil  T         90.00 Test Point SMD 
TP1F       SMD_TEST_POINT    4610.314mil   3730.315mil   4610.314mil   3730.315mil   4610.314mil   3730.315mil  T         90.00 Test Point SMD 
TP2A       SMD_TEST_POINT     299.291mil   3138.349mil     299.29mil    3138.35mil    299.291mil   3138.349mil  T        270.00 Test Point SMD 
TP2B       SMD_TEST_POINT    1086.692mil   3138.349mil   1086.693mil   3138.349mil   1086.692mil   3138.349mil  T        270.00 Test Point SMD 
TP2C       SMD_TEST_POINT    1874.094mil   3138.349mil   1874.094mil    3138.35mil   1874.094mil   3138.349mil  T        270.00 Test Point SMD 
TP2D       SMD_TEST_POINT    2661.495mil   3138.349mil   2661.495mil   3138.349mil   2661.495mil   3138.349mil  T        270.00 Test Point SMD 
TP2E       SMD_TEST_POINT    3448.897mil   3138.349mil   3448.897mil   3138.349mil   3448.897mil   3138.349mil  T        270.00 Test Point SMD 
TP2F       SMD_TEST_POINT    4236.298mil   3138.349mil   4236.298mil    3138.35mil   4236.298mil   3138.349mil  T        270.00 Test Point SMD 
TP3A       SMD_TEST_POINT      309.37mil   2173.504mil    309.369mil   2173.503mil     309.37mil   2173.504mil  T        180.00 Test Point SMD 
