Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5       -930mil       -810mil      27996mil      16624mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      28035mil      27703mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      36851mil      27683mil       -930mil       -810mil  T         90.00 Comment        
TP10H      PAD_80D_052H     30110.988mil  18579.819mil  30110.988mil  18579.819mil  30110.988mil  18579.819mil  B        360.00 Test point     
TP10G      PAD_80D_052H     28710.988mil  18579.819mil  28710.988mil  18579.819mil  28710.988mil  18579.819mil  B        360.00 Test point     
TP10F      PAD_80D_052H         35711mil      23831mil      35711mil      23831mil      35711mil      23831mil  B        360.00 Test point     
TP10E      PAD_80D_052H         34311mil      23831mil      34311mil      23831mil      34311mil      23831mil  B        360.00 Test point     
TP10D      PAD_80D_052H         32911mil      23831mil      32911mil      23831mil      32911mil      23831mil  B        360.00 Test point     
TP10C      PAD_80D_052H         31074mil      24276mil      31074mil      24276mil      31074mil      24276mil  B        360.00 Test point     
TP10B      PAD_80D_052H         30111mil      23831mil      30111mil      23831mil      30111mil      23831mil  B        360.00 Test point     
TP10A      PAD_80D_052H         28711mil      23831mil      28711mil      23831mil      28711mil      23831mil  B        360.00 Test point     
TP3        PAD_80D_052H         35972mil  17806.079mil      35972mil  17806.079mil      35972mil  17806.079mil  B        180.00 Test point     
TP2        PAD_80D_052H         30377mil      17695mil      30377mil      17695mil      30377mil      17695mil  B        180.00 Test point     
TP1        PAD_80D_052H         29684mil  21041.079mil      29684mil  21041.079mil      29684mil  21041.079mil  B        180.00 Test point     
RN3        RES_ARRAY_0603_x_4  32082.323mil  20868.842mil      32040mil  20821.598mil  32043.937mil  20821.598mil  B         90.00 RES ARRAY  x4 10K
RN2        RES_ARRAY_0603_x_4  32082.323mil  21048.842mil      32040mil  21001.598mil  32043.937mil  21001.598mil  B         90.00 RES ARRAY  x4 10K
