Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       8605mil      10571mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -675mil      10551mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -395mil      -1359mil     -29340mil     -17929mil  T        180.00 Comment        
K1J        RELAY,_TYCO_RT1    4452.35mil   2456.693mil   4599.988mil   2948.819mil   4599.988mil   2948.819mil  B        270.00 Dual-Latching, 24V
K1L        RELAY,_TYCO_RT1    7252.35mil   2456.693mil   7399.988mil   2948.819mil   7399.988mil   2948.819mil  B        270.00 Dual-Latching, 24V
L1         10/100BT_Magetics_module     5809.5mil   9270.079mil       5987mil   9445.079mil       5987mil   9445.079mil  B        270.00 S558-5999-J1-F 
P2         HDR-4_PIN_W/SCREW       7613mil   9436.079mil       7613mil   9436.079mil       7913mil   9436.079mil  B        180.00 Header PWR 4 Pin
Q1A        SOT-23B                400mil       8485mil        400mil       8485mil    437.402mil   8534.213mil  T        180.00 ZXMN3B14FTA    
Q1B        SOT-23B               1800mil       8485mil       1800mil       8485mil   1837.402mil   8534.213mil  T        180.00 ZXMN3B14FTA    
Q1C        SOT-23B               3200mil       8485mil       3200mil       8485mil   3237.402mil   8534.213mil  T        180.00 ZXMN3B14FTA    
Q1D        SOT-23B               4600mil       8485mil       4600mil       8485mil   4637.402mil   8534.213mil  T        180.00 ZXMN3B14FTA    
Q1E        SOT-23B               6000mil       8485mil       6000mil       8485mil   6037.402mil   8534.213mil  T        180.00 ZXMN3B14FTA    
Q1F        SOT-23B               7400mil       8485mil       7400mil       8485mil   7437.402mil   8534.213mil  T        180.00 ZXMN3B14FTA    
Q1G        SOT-23B            399.988mil   3233.819mil    399.988mil   3233.819mil     437.39mil   3283.032mil  T        180.00 ZXMN3B14FTA    
Q1H        SOT-23B           1799.988mil   3233.819mil   1799.988mil   3233.819mil    1837.39mil   3283.032mil  T        180.00 ZXMN3B14FTA    
Q1I        SOT-23B           3199.988mil   3233.819mil   3199.988mil   3233.819mil    3237.39mil   3283.032mil  T        180.00 ZXMN3B14FTA    
Q1J        SOT-23B           4599.988mil   3233.819mil   4599.988mil   3233.819mil    4637.39mil   3283.032mil  T        180.00 ZXMN3B14FTA    
Q1K        SOT-23B           5999.988mil   3233.819mil   5999.988mil   3233.819mil    6037.39mil   3283.032mil  T        180.00 ZXMN3B14FTA    
Q1L        SOT-23B           7399.988mil   3233.819mil   7399.988mil   3233.819mil    7437.39mil   3283.032mil  T        180.00 ZXMN3B14FTA    
Q2A        SOT-23B                105mil       8685mil        105mil       8685mil    142.402mil   8734.213mil  T        180.00 ZXMN3B14FTA    
Q2B        SOT-23B               1505mil       8685mil       1505mil       8685mil   1542.402mil   8734.213mil  T        180.00 ZXMN3B14FTA    
Q2C        SOT-23B               2905mil       8685mil       2905mil       8685mil   2942.402mil   8734.213mil  T        180.00 ZXMN3B14FTA    
Q2D        SOT-23B               4305mil       8685mil       4305mil       8685mil   4342.402mil   8734.213mil  T        180.00 ZXMN3B14FTA    
Q2E        SOT-23B               5705mil       8685mil       5705mil       8685mil   5742.402mil   8734.213mil  T        180.00 ZXMN3B14FTA    
Q2F        SOT-23B               7105mil       8685mil       7105mil       8685mil   7142.402mil   8734.213mil  T        180.00 ZXMN3B14FTA    
Q2G        SOT-23B            104.988mil   3433.819mil    104.988mil   3433.819mil     142.39mil   3483.032mil  T        180.00 ZXMN3B14FTA    
Q2H        SOT-23B           1504.988mil   3433.819mil   1504.988mil   3433.819mil    1542.39mil   3483.032mil  T        180.00 ZXMN3B14FTA    
Q2I        SOT-23B           2904.988mil   3433.819mil   2904.988mil   3433.819mil    2942.39mil   3483.032mil  T        180.00 ZXMN3B14FTA    
Q2J        SOT-23B             4535.5mil   3471.142mil     4535.5mil   3471.142mil   4572.902mil   3520.354mil  T        180.00 ZXMN3B14FTA    
Q2K        SOT-23B           5704.988mil   3433.819mil   5704.988mil   3433.819mil    5742.39mil   3483.032mil  T        180.00 ZXMN3B14FTA    
Q2L        SOT-23B           7104.988mil   3433.819mil   7104.988mil   3433.819mil    7142.39mil   3483.032mil  T        180.00 ZXMN3B14FTA    
R1         SMD_0805           7652.48mil   9027.079mil    7652.48mil   9027.079mil    7607.48mil   9027.079mil  B        360.00 Res 0805       
R2         SMD_0805               567mil   8919.079mil        567mil   8919.079mil        567mil   8874.079mil  B         90.00 Res 0805       
R3         SMD_0805               498mil   9653.079mil        498mil   9653.079mil        453mil   9653.079mil  B        360.00 Res 0805       
R4A        6332[2512]             100mil       7906mil        100mil       7906mil        100mil   8016.236mil  T        270.00 1W (2512)      
R4B        6332[2512]            1500mil       7911mil       1500mil       7911mil       1500mil   8021.236mil  T        270.00 1W (2512)      
R4C        6332[2512]            2900mil       7916mil       2900mil       7916mil       2900mil   8026.236mil  T        270.00 1W (2512)      
R4D        6332[2512]            4300mil       7930mil       4300mil       7930mil       4300mil   8040.236mil  T        270.00 1W (2512)      
R4E        6332[2512]            5700mil       7911mil       5700mil       7911mil       5700mil   8021.236mil  T        270.00 1W (2512)      
R4F        6332[2512]            7100mil       7910mil       7100mil       7910mil       7100mil   8020.236mil  T        270.00 1W (2512)      
R4G        6332[2512]          99.988mil   2658.819mil     99.988mil   2658.819mil     99.988mil   2769.055mil  T        270.00 1W (2512)      
R4H        6332[2512]            1500mil       2656mil       1500mil       2656mil       1500mil   2766.236mil  T        270.00 1W (2512)      
R4I        6332[2512]            2900mil   2651.236mil       2900mil   2651.236mil       2900mil   2761.472mil  T        270.00 1W (2512)      
R4J        6332[2512]        4299.988mil       2656mil   4299.988mil       2656mil   4299.988mil   2766.236mil  T        270.00 1W (2512)      
R4K        6332[2512]            5700mil       2656mil       5700mil       2656mil       5700mil   2766.236mil  T        270.00 1W (2512)      
R4L        6332[2512]        7099.988mil   2658.819mil   7099.988mil   2658.819mil   7099.988mil   2769.055mil  T        270.00 1W (2512)      
R5         2012[0805]            2046mil   9245.079mil       2046mil   9245.079mil       2046mil    9282.48mil  B        270.00 4.7k           
R6         SMD_0805              6571mil   9548.079mil       6571mil   9548.079mil       6616mil   9548.079mil  T        180.00 Res 0805       
R7         SMD_0805              6584mil   9008.079mil       6584mil   9008.079mil       6629mil   9008.079mil  T        180.00 Res 0805       
RN1        RES_ARRAY_0603_x_4   3642.323mil   4274.842mil       3600mil   4227.598mil   3603.937mil   4227.598mil  B         90.00 RES ARRAY  x4 10K
RN2        RES_ARRAY_0603_x_4   3672.323mil   3929.843mil       3630mil   3882.598mil   3633.937mil   3882.598mil  B         90.00 RES ARRAY  x4 10K
RN3        RES_ARRAY_0603_x_4   3672.323mil   3749.843mil       3630mil   3702.598mil   3633.937mil   3702.598mil  B         90.00 RES ARRAY  x4 10K
TP1        PAD_80D_052H          1274mil   3922.079mil       1274mil   3922.079mil       1274mil   3922.079mil  B        180.00 Test point     
TP2        PAD_80D_052H          1967mil        576mil       1967mil        576mil       1967mil        576mil  B        180.00 Test point     
TP3        PAD_80D_052H          7562mil    687.079mil       7562mil    687.079mil       7562mil    687.079mil  B        180.00 Test point     
TP10A      PAD_80D_052H           301mil       6712mil        301mil       6712mil        301mil       6712mil  B        360.00 Test point     
TP10B      PAD_80D_052H          1701mil       6712mil       1701mil       6712mil       1701mil       6712mil  B        360.00 Test point     
TP10C      PAD_80D_052H          2664mil       7157mil       2664mil       7157mil       2664mil       7157mil  B        360.00 Test point     
TP10D      PAD_80D_052H          4501mil       6712mil       4501mil       6712mil       4501mil       6712mil  B        360.00 Test point     
TP10E      PAD_80D_052H          5901mil       6712mil       5901mil       6712mil       5901mil       6712mil  B        360.00 Test point     
TP10F      PAD_80D_052H          7301mil       6712mil       7301mil       6712mil       7301mil       6712mil  B        360.00 Test point     
TP10G      PAD_80D_052H       300.988mil   1460.819mil    300.988mil   1460.819mil    300.988mil   1460.819mil  B        360.00 Test point     
TP10H      PAD_80D_052H      1700.988mil   1460.819mil   1700.988mil   1460.819mil   1700.988mil   1460.819mil  B        360.00 Test point     
TP10I      PAD_80D_052H      3100.988mil   1460.819mil   3100.988mil   1460.819mil   3100.988mil   1460.819mil  B        360.00 Test point     
TP10J      PAD_80D_052H      4500.988mil   1460.819mil   4500.988mil   1460.819mil   4500.988mil   1460.819mil  B        360.00 Test point     
TP10K      PAD_80D_052H      5900.988mil   1460.819mil   5900.988mil   1460.819mil   5900.988mil   1460.819mil  B        360.00 Test point     
TP10L      PAD_80D_052H      7300.988mil   1460.819mil   7300.988mil   1460.819mil   7300.988mil   1460.819mil  B        360.00 Test point     
TP11A      PAD_80D_052H           285mil       8739mil        285mil       8739mil        285mil       8739mil  B        360.00 Test point     
TP11B      PAD_80D_052H          1685mil       8739mil       1685mil       8739mil       1685mil       8739mil  B        360.00 Test point     
TP11C      PAD_80D_052H          3085mil       8739mil       3085mil       8739mil       3085mil       8739mil  B        360.00 Test point     
TP11D      PAD_80D_052H          4485mil       8739mil       4485mil       8739mil       4485mil       8739mil  B        360.00 Test point     
TP11E      PAD_80D_052H          5885mil       8739mil       5885mil       8739mil       5885mil       8739mil  B        360.00 Test point     
TP11F      PAD_80D_052H          7285mil       8739mil       7285mil       8739mil       7285mil       8739mil  B        360.00 Test point     
