Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       -528mil       -482mil     -13916mil  -9946.724mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       3251mil       2349mil     -13916mil  -9946.724mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       -609mil       2306mil     -13916mil  -9946.724mil  T          0.00 Comment        
C3L        SMD_0805              1081mil     135.26mil       1081mil     135.26mil       1126mil     135.26mil  T        180.00 Cap SMD        
C3K        SMD_0805            803.95mil     135.93mil     803.95mil     135.93mil     848.95mil     135.93mil  T        180.00 Cap SMD        
C3J        SMD_0805            531.95mil     135.86mil     531.95mil     135.86mil     576.95mil     135.86mil  T        180.00 Cap SMD        
C3I        SMD_0805            255.95mil    134.475mil     255.95mil    134.475mil     300.95mil    134.475mil  T        180.00 Cap SMD        
C3H        SMD_0805              1087mil     724.26mil       1087mil     724.26mil       1132mil     724.26mil  T        180.00 Cap SMD        
C3G        SMD_0805               810mil     727.26mil        810mil     727.26mil        855mil     727.26mil  T        180.00 Cap SMD        
C3F        SMD_0805               534mil     726.26mil        534mil     726.26mil        579mil     726.26mil  T        180.00 Cap SMD        
C3E        SMD_0805           256.213mil    727.961mil    256.213mil    727.961mil    301.213mil    727.961mil  T        180.00 Cap SMD        
C3D        SMD_0805              1085mil    1316.26mil       1085mil    1316.26mil       1130mil    1316.26mil  T        180.00 Cap SMD        
C3C        SMD_0805               809mil    1316.26mil        809mil    1316.26mil        854mil    1316.26mil  T        180.00 Cap SMD        
C3B        SMD_0805            533.95mil    1315.04mil     533.95mil    1315.04mil     578.95mil    1315.04mil  T        180.00 Cap SMD        
C3A        SMD_0805            262.95mil    1311.97mil     262.95mil    1311.97mil     307.95mil    1311.97mil  T        180.00 Cap SMD        
C2L        SMD_0805              1036mil     135.26mil       1036mil     135.26mil       1081mil     135.26mil  B        180.00 Cap SMD        
C2K        SMD_0805            758.95mil     135.93mil     758.95mil     135.93mil     803.95mil     135.93mil  B        180.00 Cap SMD        
C2J        SMD_0805            486.95mil     135.86mil     486.95mil     135.86mil     531.95mil     135.86mil  B        180.00 Cap SMD        
C2I        SMD_0805               255mil     126.26mil        255mil     126.26mil        300mil     126.26mil  B        180.00 Cap SMD        
C2H        SMD_0805              1042mil     724.26mil       1042mil     724.26mil       1087mil     724.26mil  B        180.00 Cap SMD        
C2G        SMD_0805               765mil     727.26mil        765mil     727.26mil        810mil     727.26mil  B        180.00 Cap SMD        
C2F        SMD_0805               489mil     726.26mil        489mil     726.26mil        534mil     726.26mil  B        180.00 Cap SMD        
C2E        SMD_0805           250.213mil    722.961mil    250.213mil    722.961mil    295.213mil    722.961mil  B        180.00 Cap SMD        
C2D        SMD_0805              1040mil    1316.26mil       1040mil    1316.26mil       1085mil    1316.26mil  B        180.00 Cap SMD        
C2C        SMD_0805               764mil    1316.26mil        764mil    1316.26mil        809mil    1316.26mil  B        180.00 Cap SMD        
C2B        SMD_0805            488.95mil    1315.04mil     488.95mil    1315.04mil     533.95mil    1315.04mil  B        180.00 Cap SMD        
C2A        SMD_0805               245mil    1311.26mil        245mil    1311.26mil        290mil    1311.26mil  B        180.00 Cap SMD        
C1L        SMD_0805              1032mil     505.26mil       1032mil     505.26mil        987mil     505.26mil  T        360.00 Cap SMD        
C1K        SMD_0805            754.95mil     505.93mil     754.95mil     505.93mil     709.95mil     505.93mil  T        360.00 Cap SMD        
C1J        SMD_0805            482.95mil     505.86mil     482.95mil     505.86mil     437.95mil     505.86mil  T        360.00 Cap SMD        
C1I        SMD_0805            206.95mil    504.475mil     206.95mil    504.475mil     161.95mil    504.475mil  T        360.00 Cap SMD        
C1H        SMD_0805          1038.213mil   1095.961mil   1038.213mil   1095.961mil    993.213mil   1095.961mil  T        360.00 Cap SMD        
C1G        SMD_0805               761mil    1097.26mil        761mil    1097.26mil        716mil    1097.26mil  T        360.00 Cap SMD        
C1F        SMD_0805               485mil    1096.26mil        485mil    1096.26mil        440mil    1096.26mil  T        360.00 Cap SMD        
C1E        SMD_0805               207mil    1095.26mil        207mil    1095.26mil        162mil    1095.26mil  T        360.00 Cap SMD        
C1D        SMD_0805              1036mil    1686.26mil       1036mil    1686.26mil        991mil    1686.26mil  T        360.00 Cap SMD        
C1C        SMD_0805               760mil    1686.26mil        760mil    1686.26mil        715mil    1686.26mil  T        360.00 Cap SMD        
C1B        SMD_0805           485.213mil   1685.961mil    485.213mil   1685.961mil    440.213mil   1685.961mil  T        360.00 Cap SMD        
C1A        SMD_0805           214.213mil   1685.961mil    214.213mil   1685.961mil    169.213mil   1685.961mil  T        360.00 Cap SMD        

