Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       6246mil       4578mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       -780mil       4578mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       -599mil      -1723mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       5137mil   1183.775mil       5137mil   1183.775mil       5137mil   1183.775mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       5137mil       3021mil       5137mil       3021mil       5137mil       3021mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       4737mil       3021mil       4737mil       3021mil       4737mil       3021mil  T        360.00 Comment        
TP5B       SMD_TEST_POINT        3643mil       1497mil       3643mil       1497mil       3643mil       1497mil  T        180.00 Test Point SMD 
TP5A       SMD_TEST_POINT        1129mil       1497mil       1129mil       1497mil       1129mil       1497mil  T        180.00 Test Point SMD 
TP4        SMD_TEST_POINT    2207.004mil       3618mil   2207.004mil       3618mil   2207.004mil       3618mil  T         90.00 Test Point SMD 
TP3        SMD_TEST_POINT    1689.004mil       3614mil   1689.004mil       3614mil   1689.004mil       3614mil  T         90.00 Test Point SMD 
R19B       Vishay_S102_series       3889mil        998mil       3889mil        998mil       3889mil        923mil  T         90.00 S102           
R19A       Vishay_S102_series       1375mil        998mil       1375mil        998mil       1375mil        923mil  T         90.00 S102           
R18B       SMD_0805              4118mil       1446mil       4118mil       1446mil       4118mil       1401mil  T         90.00 Res 0805       
R18A       SMD_0805              1604mil       1446mil       1604mil       1446mil       1604mil       1401mil  T         90.00 Res 0805       
R17B       SMD_0805              3641mil       1579mil       3641mil       1579mil       3596mil       1579mil  T        360.00 Res 0805       
R17A       SMD_0805              1126mil       1581mil       1126mil       1581mil       1081mil       1581mil  T        360.00 Res 0805       
R16B       SMD_0805              3295mil   1293.879mil       3295mil   1293.879mil       3250mil   1293.879mil  T        360.00 Res 0805       
R16A       SMD_0805               781mil   1293.879mil        781mil   1293.879mil        736mil   1293.879mil  T        360.00 Res 0805       
R15B       SMD_0805          3642.414mil       1710mil   3642.414mil       1710mil   3597.414mil       1710mil  T        360.00 Res 0805       
R15A       SMD_0805          1128.414mil       1713mil   1128.414mil       1713mil   1083.414mil       1713mil  T        360.00 Res 0805       
R14B       SMD_0805              3641mil       1644mil       3641mil       1644mil       3686mil       1644mil  T        180.00 Res 0805       
R14A       SMD_0805              1127mil       1647mil       1127mil       1647mil       1172mil       1647mil  T        180.00 Res 0805       
R13B       SMD_0805              3295mil   1359.061mil       3295mil   1359.061mil       3250mil   1359.061mil  T        360.00 Res 0805       
R13A       SMD_0805               781mil   1359.061mil        781mil   1359.061mil        736mil   1359.061mil  T        360.00 Res 0805       
R12B       SMD_0805              3881mil       1255mil       3881mil       1255mil       3926mil       1255mil  T        180.00 Res 0805       
R12A       SMD_0805              1367mil       1255mil       1367mil       1255mil       1412mil       1255mil  T        180.00 Res 0805       
R11        SMD_0805          2048.004mil       3572mil   2048.004mil       3572mil   2048.004mil       3527mil  T         90.00 Res 0805       
R10        SMD_0805          1982.059mil       3571mil   1982.059mil       3571mil   1982.059mil       3616mil  T        270.00 Res 0805       
R9         SMD_0805          1850.004mil       3570mil   1850.004mil       3570mil   1850.004mil       3525mil  T         90.00 Res 0805       
R8         SMD_0805          1913.004mil       3569mil   1913.004mil       3569mil   1913.004mil       3614mil  T        270.00 Res 0805       
R7         SMD_0805          3600.414mil       3186mil   3600.414mil       3186mil   3645.414mil       3186mil  T        180.00 Res 0805       
R6         SMD_0805          3102.928mil       3242mil   3102.928mil       3242mil   3057.928mil       3242mil  T        360.00 Res 0805       
R5         SMD_0805              3104mil       3308mil       3104mil       3308mil       3149mil       3308mil  T        180.00 Res 0805       
R1         SMD_0805              1531mil       2778mil       1531mil       2778mil       1576mil       2778mil  T        180.00 Res 0805       
Q3         SMD_SOT23_3           3437mil        738mil       3437mil        738mil       3480mil        701mil  T         90.00 FDV304P        
Q2B        SOT23                 4240mil       1441mil       4240mil       1441mil    4286.26mil       1441mil  T        270.00 2N3904         
Q2A        SOT23                 1726mil       1441mil       1726mil       1441mil    1772.26mil       1441mil  T        270.00 2N3904         
P3         HDR1X2                 236mil       2019mil        236mil       1969mil        236mil       1969mil  T         90.00 Header 2       
P2         HDR1X2_for_IDC    3317.504mil       2632mil   3317.504mil       2582mil   3317.504mil       2582mil  T         90.00 Header 2       
P1         QMS_SMD_PWR_PINS   2952.756mil    393.701mil   2952.756mil    393.701mil   4105.512mil    266.142mil  B        180.00 QMSS-PC4       
C18B       SMD_0805              3881mil   1190.197mil       3881mil   1190.197mil       3926mil   1190.197mil  T        180.00 16V            
C18A       SMD_0805              1367mil   1190.197mil       1367mil   1190.197mil       1412mil   1190.197mil  T        180.00 16V            
C17B       SMD_0805              3295mil   1229.656mil       3295mil   1229.656mil       3250mil   1229.656mil  T        360.00 Cap SMD        
C17A       SMD_0805               781mil   1229.656mil        781mil   1229.656mil        736mil   1229.656mil  T        360.00 Cap SMD        
C16B       SMD_0805              3410mil   1322.137mil       3410mil   1322.137mil       3410mil   1277.137mil  T         90.00 Cap SMD        
C16A       SMD_0805               896mil   1322.137mil        896mil   1322.137mil        896mil   1277.137mil  T         90.00 Cap SMD        
C15B       SMD_0805              3891mil       1727mil       3891mil       1727mil       3891mil       1682mil  B         90.00 Cap SMD        
C15A       SMD_0805              1377mil       1727mil       1377mil       1727mil       1377mil       1682mil  B         90.00 Cap SMD        
C14B       SMD_0805              3295mil   1422.333mil       3295mil   1422.333mil       3250mil   1422.333mil  T        360.00 Cap SMD        
C14A       SMD_0805               781mil   1422.333mil        781mil   1422.333mil        736mil   1422.333mil  T        360.00 Cap SMD        
C13B       SMD_0805              3609mil       1095mil       3609mil       1095mil       3609mil       1140mil  B        270.00 16V            
C13A       SMD_0805              1095mil       1095mil       1095mil       1095mil       1095mil       1140mil  B        270.00 16V            
C12B       SMD_0805              3643mil       1255mil       3643mil       1255mil       3643mil       1300mil  B        270.00 16V            
C12A       SMD_0805              1129mil       1255mil       1129mil       1255mil       1129mil       1300mil  B        270.00 16V            
C11B       SMD_0805              3881mil   1320.118mil       3881mil   1320.118mil       3926mil   1320.118mil  T        180.00 16V            
C11A       SMD_0805              1367mil   1320.118mil       1367mil   1320.118mil       1412mil   1320.118mil  T        180.00 16V            
C10B       SMD_0805              3643mil       1773mil       3643mil       1773mil       3688mil       1773mil  T        180.00 Cap SMD        
C10A       SMD_0805              1129mil       1777mil       1129mil       1777mil       1174mil       1777mil  T        180.00 Cap SMD        
C9         SMD_0805          2112.004mil       3572mil   2112.004mil       3572mil   2112.004mil       3617mil  T        270.00 Cap SMD        
C8         SMD_0805          1785.004mil       3571mil   1785.004mil       3571mil   1785.004mil       3616mil  T        270.00 Cap SMD        
C7         SMD_0805              3298mil       3084mil       3298mil       3084mil       3253mil       3084mil  T        360.00 Cap SMD        
C6         SMD_0805              3599mil       3262mil       3599mil       3262mil       3554mil       3262mil  T        360.00 Cap SMD        
D1         SOT-143                404mil       2703mil        404mil       2703mil    433.527mil   2659.693mil  B        180.00 SP0503BAHT     
J2         61729-0010BLF      539.567mil   2702.992mil    592.913mil   2702.992mil    642.126mil    2653.78mil  T        270.00 61729-0010BLF  
J10        RJ-45_w/magnetics    407.594mil   3464.961mil    329.094mil   3689.961mil    579.095mil   3639.961mil  T         90.00 CONN RJ-45     
R2         SMD_0805               375mil       3545mil        375mil       3545mil        420mil       3545mil  B        180.00 Res 0805       
