Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       7470mil       3702mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -760mil       3730mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -739mil      -1854mil -11141.732mil  -10236.22mil  T        180.00 Comment        
TP12       PAD_80D_052H          1714mil       2025mil       1714mil       2025mil       1714mil       2025mil  T         90.00 Test point     
R4C        SMD_0805           1330.36mil        684mil   1330.359mil        684mil    1330.36mil        639mil  B         90.00 Res 0805       
R4B        SMD_0805           779.179mil        684mil    779.178mil        684mil    779.179mil        639mil  B         90.00 Res 0805       
R4A        SMD_0805               228mil        684mil        228mil        684mil        228mil        639mil  B         90.00 Res 0805       
R3H        SMD_0805          3962.267mil        820mil   3962.268mil        820mil   3962.267mil        775mil  B         90.00 Res 0805       
R3G        SMD_0805          3411.084mil        820mil   3411.085mil        820mil   3411.084mil        775mil  B         90.00 Res 0805       
R3F        SMD_0805          2859.905mil        820mil   2859.906mil        820mil   2859.905mil        775mil  B         90.00 Res 0805       
R3E        SMD_0805          2308.722mil        820mil   2308.723mil        820mil   2308.722mil        775mil  B         90.00 Res 0805       
R3D        SMD_0805          1757.541mil        820mil   1757.542mil        820mil   1757.541mil        775mil  B         90.00 Res 0805       
R3C        SMD_0805           1206.36mil        820mil   1206.361mil        820mil    1206.36mil        775mil  B         90.00 Res 0805       
R3B        SMD_0805           655.179mil        820mil     655.18mil        820mil    655.179mil        775mil  B         90.00 Res 0805       
R3A        SMD_0805               104mil        820mil        104mil        820mil        104mil        775mil  B         90.00 Res 0805       
R2         SMD_0805              6139mil   2623.001mil       6139mil       2623mil       6139mil   2668.001mil  B        270.00 Res 0805       
R1         SMD_0805              3890mil       2665mil       3890mil   2664.999mil       3890mil       2710mil  B        270.00 Res 0805       
P1         HDR2X5                 277mil       2991mil        227mil   3191.001mil        227mil       3191mil  T        270.00 Header 5X2     
L2D        SMT_Inductor_7_x_7mm   6685.038mil    855.407mil   6685.038mil    855.907mil   6685.038mil    945.907mil  T        270.00 513-1481-2-ND  
L2C        SMT_Inductor_7_x_7mm   6133.859mil    855.407mil   6133.859mil    855.907mil   6133.859mil    945.907mil  T        270.00 513-1481-2-ND  
L2B        SMT_Inductor_7_x_7mm   5582.675mil    855.407mil   5582.676mil    855.907mil   5582.675mil    945.907mil  T        270.00 513-1481-2-ND  
L2A        SMT_Inductor_7_x_7mm   5031.496mil    855.407mil   5031.495mil    855.906mil   5031.496mil    945.907mil  T        270.00 513-1481-2-ND  
L1D        SMT_Inductor_7_x_7mm   6740.155mil   1620.185mil   6740.154mil   1619.685mil   6740.155mil   1529.685mil  T         90.00 513-1481-2-ND  
L1C        SMT_Inductor_7_x_7mm   6188.975mil   1620.185mil   6188.976mil   1619.684mil   6188.975mil   1529.685mil  T         90.00 513-1481-2-ND  
L1B        SMT_Inductor_7_x_7mm   5637.792mil   1620.185mil   5637.793mil   1619.684mil   5637.792mil   1529.685mil  T         90.00 513-1481-2-ND  
L1A        SMT_Inductor_7_x_7mm   5086.613mil   1620.185mil   5086.614mil   1619.686mil   5086.613mil   1529.685mil  T         90.00 513-1481-2-ND  
J3D        LEMO_SIZE_0,_2-PIN_PCB   6771.653mil    475.197mil   6771.653mil    425.197mil   6771.653mil    525.197mil  T        180.00 LEMO 2-pin size 0
J3C        LEMO_SIZE_0,_2-PIN_PCB   6220.473mil    475.197mil   6220.473mil    425.197mil   6220.473mil    525.197mil  T        180.00 LEMO 2-pin size 0
